m_clock,x,y,z,q_x,q_y,q_z,q_w,rf_s,rr_s,fl_s,rl_s,lr_d,rr_d,fl_d,fr_d,rm_d,lm_d,lb_rot,rb_rot,ld_rot,rd_rot,slip,slow_slip,wrf_x,wrf_y,wrf_z,wrc_x,wrc_y,wrc_z,wrb_x,wrb_y,wrb_z,wlf_x,wlf_y,wlf_z,wlc_x,wlc_y,wlc_z,wlb_x,wlb_y,wlb_z
781814991.000183, -195.121569, -261.101607, -86.337994, 0.160536, 0.099488, -0.707977, 0.680514, -0.172743, 0.156977, -0.248675, 0.226305, 108.778739, 108.916740, 109.082705, 108.693431, 109.824619, 107.054887, 0.014742, 0.018625, -0.050000, -0.050000, 0.622374, nan, -63.247684, 6.942535, -475.597412, -26.541161, 52.797607, -599.163208, 84.764801, 142.976944, -830.642334, -142.355927, 6.671450, -538.538940, 7.807984, 54.637180, -350.948242, 131.176514, -268.676758, -1074.377930
781814992.000200, -195.119918, -261.110500, -86.331566, 0.159292, 0.098771, -0.708110, 0.680772, -0.172743, 0.156977, -0.248675, 0.226305, 108.945888, 109.083877, 109.199007, 108.809492, 109.992625, 107.165029, 0.022238, 0.029011, -0.050000, -0.050000, 0.625949, 0.363762, -23.600389, -15.848242, -368.376282, 24.069817, 73.298470, -559.821472, 49.942936, 110.263794, -907.775146, -103.267929, 10.888255, -639.723572, -7.617874, 1.760115, -386.963287, 124.771919, -91.990471, -904.985718
781814993.000217, -195.117018, -261.117863, -86.329186, 0.157875, 0.096151, -0.708696, 0.680868, -0.172743, 0.156977, -0.248675, 0.226305, 109.112971, 109.250929, 109.315625, 108.925573, 110.160628, 107.275046, 0.027530, 0.041538, -0.046771, -0.050000, 0.366872, nan, -34.233269, -58.182281, -403.658997, 12.614077, 55.555485, -547.899597, 31.856449, 155.361267, -901.451538, -166.897552, -108.580788, -649.268677, 19.142155, -8.041775, -381.111450, 113.726868, -74.291733, -873.341553
781814994.000234, -195.114407, -261.130854, -86.332061, 0.156426, 0.096309, -0.709396, 0.680451, -0.172743, 0.156977, -0.248675, 0.226305, 109.280310, 109.418185, 109.432126, 109.041736, 110.328739, 107.385250, 0.028372, 0.042220, -0.044187, -0.050000, 0.635107, nan, -60.887226, -55.788181, -362.788208, -36.642559, 95.455772, -555.149292, 51.857273, 160.905197, -895.581055, -125.715927, -85.972054, -664.682007, -2.229174, 18.658426, -398.970947, 111.298920, -82.795731, -897.726257
781814995.000251, -195.111901, -261.143523, -86.330784, 0.158592, 0.097299, -0.709125, 0.680091, -0.172743, 0.156977, -0.248675, 0.226305, 109.447508, 109.585302, 109.548250, 109.157702, 110.496723, 107.495304, 0.037933, 0.028149, -0.049985, -0.050000, 0.794921, nan, -74.626038, -10.034521, -379.669586, -32.643524, 6.663739, -561.095825, 79.737900, 205.315735, -1007.191589, -105.043800, -23.577011, -656.056885, -27.399063, -2.413361, -319.282837, 138.950928, -183.184982, -997.948181
781814996.000268, -195.109458, -261.155317, -86.335723, 0.158160, 0.096924, -0.709704, 0.679640, -0.172743, 0.156977, -0.248675, 0.226305, 109.614733, 109.752451, 109.664610, 109.273843, 110.664701, 107.605398, 0.046485, 0.034132, -0.050000, -0.050000, 0.714064, nan, -53.578308, 11.272132, -420.736145, -27.112267, -61.821693, -564.853516, 33.687775, 272.838837, -896.927429, -61.482651, 42.443542, -553.270447, -3.871890, 20.992313, -277.730408, 145.413605, -224.844727, -1012.849060
781814997.000284, -195.106698, -261.167490, -86.339353, 0.158434, 0.096695, -0.710112, 0.679183, -0.172743, 0.156977, -0.248675, 0.226305, 109.781874, 109.919450, 109.780965, 109.389835, 110.832708, 107.715502, 0.049715, 0.041668, -0.050000, -0.050000, 0.575402, 0.562592, -54.734417, 19.722485, -444.518311, -25.499603, -32.305798, -419.366608, 68.958763, 129.635361, -936.637573, -33.167740, 48.370251, -531.138123, -9.804131, 20.715525, -337.834045, 93.902893, -160.308304, -1036.135742
781814998.000301, -195.105491, -261.180088, -86.341441, 0.160232, 0.097683, -0.710835, 0.677863, -0.172743, 0.156977, -0.248675, 0.226305, 109.949159, 110.086646, 109.897605, 109.506118, 111.000708, 107.825624, 0.049291, 0.033913, -0.050000, -0.050000, 0.759288, nan, -35.192894, 2.759219, -412.987335, -35.467751, 64.704674, -472.946045, 46.776459, 17.239408, -1038.496704, -26.161610, 34.214096, -554.648621, 3.121632, -2.392027, -353.620850, 72.960724, -146.022568, -1046.149414
781814999.000318, -195.102768, -261.189854, -86.342390, 0.159836, 0.097409, -0.711259, 0.677551, -0.172743, 0.156977, -0.248675, 0.226305, 110.116402, 110.253795, 110.013868, 109.622217, 111.168743, 107.935757, 0.051419, 0.038980, -0.050000, -0.050000, 0.696828, nan, -46.192020, -13.516847, -450.963043, -25.609070, 56.655041, -458.557343, 78.746506, 85.525726, -990.316589, -67.678558, 33.121529, -529.918823, -25.280602, 8.868312, -334.040100, 109.112549, -157.126312, -1062.233154
781815000.000335, -195.100934, -261.201598, -86.349703, 0.158687, 0.097600, -0.712104, 0.676905, -0.172743, 0.156977, -0.248675, 0.226305, 110.283601, 110.420913, 110.130426, 109.738312, 111.336804, 108.045810, 0.056573, 0.048996, -0.050000, -0.050000, 0.541022, nan, -8.214822, -16.244354, -391.996796, 10.566775, 49.242775, -468.396301, 13.410858, 54.739410, -1073.436768, -74.191833, -33.512489, -622.406006, -7.352000, -9.614470, -364.166321, 54.488049, -22.196806, -913.017517
